data,numero_spedizioni
2021-06-01,358890
2021-06-02,1192
2021-06-03,424296
2021-06-04,346785
2021-06-05,10
2021-06-06,37535
2021-06-07,446258
2021-06-08,381433
2021-06-09,354277
2021-06-10,346073
2021-06-11,314624
2021-06-12,23
2021-06-13,39820
2021-06-14,421730
2021-06-15,363093
2021-06-16,352787
2021-06-17,338126
2021-06-18,284057
2021-06-19,79
2021-06-20,37605
2021-06-21,432600
2021-06-22,391232
2021-06-23,375298
2021-06-24,321572
2021-06-25,307224
2021-06-26,29
2021-06-27,40744
2021-06-28,404735
2021-06-29,348252
2021-06-30,327032
2021-07-01,326956
2021-07-02,295673
2021-07-03,16
2021-07-04,43733
2021-07-05,436856
2021-07-06,372106
2021-07-07,341521
2021-07-08,326992
2021-07-09,301043
2021-07-10,257
2021-07-11,36280
2021-07-12,401204
2021-07-13,343059
2021-07-14,322065
2021-07-15,323829
2021-07-16,295940
2021-07-17,16
2021-07-18,36997
2021-07-19,408468
2021-07-20,346748
2021-07-21,335863
2021-07-22,316965
2021-07-23,285848
2021-07-24,12
2021-07-25,38509
2021-07-26,393504
2021-07-27,331827
2021-07-28,321356
2021-07-29,308419
2021-07-30,279413
2021-07-31,4
2021-08-01,40731
2021-08-02,386276
2021-08-03,327927
2021-08-04,309868
2021-08-05,278941
2021-08-06,233728
2021-08-07,1332
2021-08-08,39966
2021-08-09,279411
2021-08-10,217207
2021-08-11,198026
2021-08-12,173024
2021-08-13,142822
2021-08-14,53
2021-08-15,0
2021-08-16,228156
2021-08-17,181504
2021-08-18,171514
2021-08-19,164922
2021-08-20,151137
2021-08-21,23
2021-08-22,35729
2021-08-23,298577
2021-08-24,270330
2021-08-25,261479
2021-08-26,253808
2021-08-27,238830
2021-08-28,172
2021-08-29,35254
2021-08-30,364936
2021-08-31,323540
2021-09-01,332437
2021-09-02,328134
2021-09-03,297271
2021-09-04,49
2021-09-05,39913
2021-09-06,413440
2021-09-07,359620
2021-09-08,341484
2021-09-09,338136
2021-09-10,313788
2021-09-11,37
2021-09-12,37901
2021-09-13,417448
2021-09-14,366145
2021-09-15,344336
2021-09-16,343747
2021-09-17,319364
2021-09-18,95
2021-09-19,44512
2021-09-20,429521
2021-09-21,371404
2021-09-22,359616
2021-09-23,335952
2021-09-24,323966
2021-09-25,60
2021-09-26,42645
2021-09-27,436309
2021-09-28,379937
2021-09-29,361748
2021-09-30,341745
2021-10-01,330452
2021-10-02,520
2021-10-03,50584
2021-10-04,432508
2021-10-05,382211
2021-10-06,369632
2021-10-07,352520
2021-10-08,333793
2021-10-09,74
2021-10-10,47478
2021-10-11,406506
2021-10-12,424343
2021-10-13,378610
2021-10-14,367274
2021-10-15,330867
2021-10-16,186
2021-10-17,44847
2021-10-18,444650
2021-10-19,401281
2021-10-20,378292
2021-10-21,360039
2021-10-22,330954
2021-10-23,821
2021-10-24,48249
2021-10-25,449826
2021-10-26,396720
2021-10-27,358606
2021-10-28,353551
2021-10-29,323743
2021-10-30,207
2021-10-31,34243
2021-11-01,24
2021-11-02,533109
2021-11-03,421767
2021-11-04,408694
2021-11-05,366881
2021-11-06,611
2021-11-07,51781
2021-11-08,487728
2021-11-09,411255
2021-11-10,396019
2021-11-11,367800
2021-11-12,363121
2021-11-13,1285
2021-11-14,44776
2021-11-15,498646
2021-11-16,415153
2021-11-17,385145
2021-11-18,370606
2021-11-19,360917
2021-11-20,241
2021-11-21,51214
2021-11-22,526528
2021-11-23,464161
2021-11-24,423729
2021-11-25,420215
2021-11-26,437413
2021-11-27,567
2021-11-28,129480
2021-11-29,635730
2021-11-30,544455
2021-12-01,488718
2021-12-02,461675
2021-12-03,418554
2021-12-04,520
2021-12-05,83386
2021-12-06,564711
2021-12-07,476474
2021-12-08,3281
2021-12-09,558986
2021-12-10,458174
2021-12-11,1496
2021-12-12,90869
2021-12-13,614805
2021-12-14,524229
2021-12-15,502640
2021-12-16,485595
2021-12-17,463496
2021-12-18,1728
2021-12-19,96809
2021-12-20,596261
2021-12-21,481532
2021-12-22,375715
2021-12-23,299874
2021-12-24,9755
2021-12-25,0
2021-12-26,1
2021-12-27,359262
2021-12-28,287410
2021-12-29,241491
2021-12-30,207162
2021-12-31,7779
2022-01-01,10
2022-01-02,5
2022-01-03,378506
2022-01-04,303456
2022-01-05,276005
2022-01-06,120
2022-01-07,341594
2022-01-08,151
2022-01-09,55362
2022-01-10,496016
2022-01-11,427029
2022-01-12,388183
2022-01-13,368936
2022-01-14,341790
2022-01-15,119
2022-01-16,41697
2022-01-17,484063
2022-01-18,406748
2022-01-19,369493
2022-01-20,348739
2022-01-21,338718
2022-01-22,129
2022-01-23,42819
2022-01-24,464497
2022-01-25,390775
2022-01-26,368233
2022-01-27,350800
2022-01-28,337968
2022-01-29,88
2022-01-30,33591
2022-01-31,450720
2022-02-01,396455
2022-02-02,369712
2022-02-03,359474
2022-02-04,332046
2022-02-05,84
2022-02-06,31014
2022-02-07,470991
2022-02-08,395425
2022-02-09,378077
2022-02-10,355850
2022-02-11,337029
2022-02-12,74
2022-02-13,35409
2022-02-14,433614
2022-02-15,391056
2022-02-16,363578
2022-02-17,342724
2022-02-18,323142
2022-02-19,160
2022-02-20,31566
2022-02-21,430894
2022-02-22,381250
2022-02-23,347052
2022-02-24,311871
2022-02-25,285811
2022-02-26,94
2022-02-27,30511
2022-02-28,432384
2022-03-01,378503
2022-03-02,373419
2022-03-03,348352
2022-03-04,330074
2022-03-05,467
2022-03-06,32597
2022-03-07,454466
2022-03-08,363898
2022-03-09,370241
2022-03-10,347816
2022-03-11,332915
2022-03-12,136
2022-03-13,32284
2022-03-14,448720
2022-03-15,374784
2022-03-16,352993
2022-03-17,345811
2022-03-18,322737
2022-03-19,92
2022-03-20,28771
2022-03-21,467528
2022-03-22,382904
2022-03-23,367671
2022-03-24,346626
2022-03-25,320061
2022-03-26,53
2022-03-27,23334
2022-03-28,450822
2022-03-29,378395
2022-03-30,357517
2022-03-31,336090
2022-04-01,341496
2022-04-02,129
2022-04-03,25338
2022-04-04,459635
2022-04-05,397642
2022-04-06,383347
2022-04-07,361676
2022-04-08,336615
2022-04-09,140
2022-04-10,27214
2022-04-11,486738
2022-04-12,401079
2022-04-13,384704
2022-04-14,360504
2022-04-15,275050
2022-04-16,166
2022-04-17,1
2022-04-18,11
2022-04-19,444880
2022-04-20,394241
2022-04-21,377154
2022-04-22,341933
2022-04-23,184
2022-04-24,22
2022-04-25,1125
2022-04-26,558122
2022-04-27,426825
2022-04-28,389539
2022-04-29,347539
2022-04-30,80
2022-05-01,0
2022-05-02,486630
2022-05-03,429034
2022-05-04,405838
2022-05-05,381772
